frequency_hz,two_ray_los_db,two_ray_with_reflector_db,room_metal_db,room_concrete_db,room_foam_board_db
5596000000.0,-57.405337338279175,-58.34928807192351,-57.0021939552846,-58.40313304936991,-59.845661477649806
5598000000.0,-57.40844110448624,-58.044795148219194,-57.0021939552846,-58.40313304936991,-59.845661477649806
5600000000.0,-57.41154376200738,-57.75398438488846,-57.0021939552846,-58.40313304936991,-59.845661477649806
5602000000.0,-57.41464531163436,-57.47610469977619,-57.0021939552846,-58.40313304936991,-59.845661477649806
5604000000.0,-57.41774575415811,-57.21046688114882,-57.0021939552846,-58.40313304936991,-59.845661477649806
5606000000.0,-57.42084509036872,-56.95643837205871,-57.0021939552846,-58.40313304936991,-59.845661477649806
5608000000.0,-57.42394332105542,-56.71343832901031,-57.0021939552846,-58.40313304936991,-59.845661477649806
5610000000.0,-57.4270404470066,-56.48093302225008,-57.0021939552846,-58.40313304936991,-59.845661477649806
5612000000.0,-57.430136469009824,-56.25843160412333,-57.0021939552846,-58.40313304936991,-59.845661477649806
5614000000.0,-57.433231387851784,-56.04548224701219,-57.0021939552846,-58.40313304936991,-59.845661477649806
5616000000.0,-57.43632520431835,-55.84166863772683,-57.0021939552846,-58.40313304936991,-59.845661477649806
5618000000.0,-57.439417919194554,-55.64660680713948,-57.0021939552846,-58.40313304936991,-59.845661477649806
5620000000.0,-57.4425095332646,-55.45994226993197,-57.0021939552846,-58.40313304936991,-59.845661477649806
5622000000.0,-57.445600047311814,-55.2813474480173,-57.0021939552846,-58.40313304936991,-59.845661477649806
5624000000.0,-57.44868946211873,-55.110519351443386,-57.0021939552846,-58.40313304936991,-59.845661477649806
5626000000.0,-57.45177777846702,-54.947177491783,-57.0021939552846,-58.40313304936991,-59.845661477649806
5628000000.0,-57.454864997137534,-54.791062004671815,-57.0021939552846,-58.40313304936991,-59.845661477649806
5630000000.0,-57.4579511189103,-54.641931960056056,-57.0021939552846,-58.40313304936991,-59.845661477649806
5632000000.0,-57.46103614456449,-54.49956384067727,-57.0021939552846,-58.40313304936991,-59.845661477649806
5634000000.0,-57.464120074878466,-54.3637501712199,-57.0021939552846,-58.40313304936991,-59.845661477649806
5636000000.0,-57.46720291062975,-54.23429828236199,-57.0021939552846,-58.40313304936991,-59.845661477649806
5638000000.0,-57.47028465259505,-54.11102919565181,-57.0021939552846,-58.40313304936991,-59.845661477649806
5640000000.0,-57.47336530155022,-53.9937766166574,-57.0021939552846,-58.40313304936991,-59.845661477649806
5642000000.0,-57.47644485827032,-53.882386025230964,-57.0021939552846,-58.40313304936991,-59.845661477649806
5644000000.0,-57.479523323529584,-53.77671385297398,-57.0021939552846,-58.40313304936991,-59.845661477649806
5646000000.0,-57.48260069810138,-53.676626739103924,-57.0021939552846,-58.40313304936991,-59.845661477649806
5648000000.0,-57.48567698275832,-53.58200085691312,-57.0021939552846,-58.40313304936991,-59.845661477649806
5650000000.0,-57.48875217827215,-53.49272130390087,-57.0021939552846,-58.40313304936991,-59.845661477649806
5652000000.0,-57.491826285413794,-53.40868154943519,-57.0021939552846,-58.40313304936991,-59.845661477649806
5654000000.0,-57.49489930495339,-53.3297829344992,-57.0021939552846,-58.40313304936991,-59.845661477649806
5656000000.0,-57.49797123766023,-53.255934218693284,-57.0021939552846,-58.40313304936991,-59.845661477649806
5658000000.0,-57.50104208430281,-53.187051170211326,-57.0021939552846,-58.40313304936991,-59.845661477649806
5660000000.0,-57.50411184564881,-53.12305619499214,-57.0021939552846,-58.40313304936991,-59.845661477649806
5662000000.0,-57.507180522465056,-53.06387800168143,-57.0021939552846,-58.40313304936991,-59.845661477649806
5664000000.0,-57.510248115517626,-53.009451299423496,-57.0021939552846,-58.40313304936991,-59.845661477649806
5666000000.0,-57.513314625571745,-52.95971652584198,-57.0021939552846,-58.40313304936991,-59.845661477649806
5668000000.0,-57.51638005339183,-52.91461960287987,-57.0021939552846,-58.40313304936991,-59.845661477649806
5670000000.0,-57.5194443997415,-52.87411171843953,-57.0021939552846,-58.40313304936991,-59.845661477649806
5672000000.0,-57.52250766538357,-52.83814913201397,-57.0021939552846,-58.40313304936991,-59.845661477649806
5674000000.0,-57.52556985108004,-52.80669300272281,-57.0021939552846,-58.40313304936991,-59.845661477649806
5676000000.0,-57.5286309575921,-52.779709238369755,-57.0021939552846,-58.40313304936991,-59.845661477649806
5678000000.0,-57.53169098568014,-52.75716836432174,-57.0021939552846,-58.40313304936991,-59.845661477649806
5680000000.0,-57.53474993610375,-52.73904541118297,-57.0021939552846,-58.40313304936991,-59.845661477649806
5682000000.0,-57.53780780962171,-52.72531982039021,-57.0021939552846,-58.40313304936991,-59.845661477649806
5684000000.0,-57.54086460699202,-52.71597536700416,-57.0021939552846,-58.40313304936991,-59.845661477649806
5686000000.0,-57.543920328971836,-52.71100009910719,-57.0021939552846,-58.40313304936991,-59.845661477649806
5688000000.0,-57.54697497631757,-52.7103862933484,-57.0021939552846,-58.40313304936991,-59.845661477649806
5690000000.0,-57.55002854978479,-52.71413042630054,-57.0021939552846,-58.40313304936991,-59.845661477649806
5692000000.0,-57.553081050128306,-52.72223316141336,-57.0021939552846,-58.40313304936991,-59.845661477649806
5694000000.0,-57.5561324781021,-52.734699351465636,-57.0021939552846,-58.40313304936991,-59.845661477649806
5696000000.0,-57.55918283445937,-52.75153805653424,-57.0021939552846,-58.40313304936991,-59.845661477649806
5698000000.0,-57.56223211995254,-52.77276257761513,-57.0021939552846,-58.40313304936991,-59.845661477649806
5700000000.0,-57.565280335333206,-52.79839050614911,-57.0021939552846,-58.40313304936991,-59.845661477649806
5702000000.0,-57.5683274813522,-52.82844378982655,-57.0021939552846,-58.40313304936991,-59.845661477649806
5704000000.0,-57.571373558759554,-52.86294881517108,-57.0021939552846,-58.40313304936991,-59.845661477649806
5706000000.0,-57.57441856830453,-52.90193650753366,-57.0021939552846,-58.40313304936991,-59.845661477649806
5708000000.0,-57.57746251073556,-52.945442449267894,-57.0021939552846,-58.40313304936991,-59.845661477649806
5710000000.0,-57.58050538680034,-52.99350701700825,-57.0021939552846,-58.40313304936991,-59.845661477649806
5712000000.0,-57.58354719724573,-53.04617553913066,-57.0021939552846,-58.40313304936991,-59.845661477649806
5714000000.0,-57.58658794281786,-53.10349847465139,-57.0021939552846,-58.40313304936991,-59.845661477649806
5716000000.0,-57.58962762426202,-53.16553161501032,-57.0021939552846,-58.40313304936991,-59.845661477649806
5718000000.0,-57.59266624232278,-53.23233631039304,-57.0021939552846,-58.40313304936991,-59.845661477649806
5720000000.0,-57.59570379774385,-53.3039797224762,-57.0021939552846,-58.40313304936991,-59.845661477649806
5722000000.0,-57.59874029126826,-53.38053510573938,-57.0021939552846,-58.40313304936991,-59.845661477649806
5724000000.0,-57.60177572363815,-53.46208211976644,-57.0021939552846,-58.40313304936991,-59.845661477649806
5726000000.0,-57.60481009559497,-53.54870717528162,-57.0021939552846,-58.40313304936991,-59.845661477649806
5728000000.0,-57.60784340787936,-53.64050381701772,-57.0021939552846,-58.40313304936991,-59.845661477649806
5730000000.0,-57.61087566123117,-53.737573146913114,-57.0021939552846,-58.40313304936991,-59.845661477649806
5732000000.0,-57.61390685638951,-53.840024291581436,-57.0021939552846,-58.40313304936991,-59.845661477649806
5734000000.0,-57.61693699409268,-53.947974918505764,-57.0021939552846,-58.40313304936991,-59.845661477649806
5736000000.0,-57.619966075078246,-54.06155180596896,-57.0021939552846,-58.40313304936991,-59.845661477649806
5738000000.0,-57.62299410008296,-54.180891472380196,-57.0021939552846,-58.40313304936991,-59.845661477649806
5740000000.0,-57.62602106984285,-54.30614087137297,-57.0021939552846,-58.40313304936991,-59.845661477649806
5742000000.0,-57.62904698509311,-54.437458159870744,-57.0021939552846,-58.40313304936991,-59.845661477649806
5744000000.0,-57.63207184656825,-54.57501354722285,-57.0021939552846,-58.40313304936991,-59.845661477649806
5746000000.0,-57.63509565500195,-54.718990234552464,-57.0021939552846,-58.40313304936991,-59.845661477649806
5748000000.0,-57.63811841112713,-54.86958545460996,-57.0021939552846,-58.40313304936991,-59.845661477649806
5750000000.0,-57.64114011567599,-55.027011623715595,-57.0021939552846,-58.40313304936991,-59.845661477649806
5752000000.0,-57.6441607693799,-55.191497618806586,-57.0021939552846,-58.40313304936991,-59.845661477649806
5754000000.0,-57.647180372969515,-55.36329019418888,-57.0021939552846,-58.40313304936991,-59.845661477649806
5756000000.0,-57.65019892717473,-55.542655554310294,-57.0021939552846,-58.40313304936991,-59.845661477649806
5758000000.0,-57.65321643272464,-55.72988110071668,-57.0021939552846,-58.40313304936991,-59.845661477649806
5760000000.0,-57.65623289034761,-55.92527737329352,-57.0021939552846,-58.40313304936991,-59.845661477649806
5762000000.0,-57.65924830077125,-56.12918020783305,-57.0021939552846,-58.40313304936991,-59.845661477649806
